candidate_id,rank,score,reasoning
CAND_0065786,44,0.7532,AI Specialist with 4.9 yrs; 4 core + 4 applied AI skills; assessed skill 53/100; strong JD-text match; response rate 0.89.
CAND_0020708,45,0.7519,Search Engineer with 4.2 yrs; 7 core + 5 applied AI skills; assessed skill 64/100; strong JD-text match; response rate 0.84.
CAND_0030031,46,0.7509,AI Engineer with 5.7 yrs; 8 core + 3 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.94.
CAND_0009691,47,0.7506,Applied ML Engineer with 6.2 yrs; 7 core + 6 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.64.
CAND_0086022,48,0.7494,Senior Applied Scientist with 5.3 yrs; 8 core + 7 applied AI skills; assessed skill 85/100; strong JD-text match; response rate 0.55.
CAND_0055992,49,0.7491,AI Engineer with 16.9 yrs; 3 core + 6 applied AI skills; assessed skill 72/100; strong JD-text match; response rate 0.72.
CAND_0081053,50,0.7479,NLP Engineer with 5.4 yrs; 8 core + 2 applied AI skills; assessed skill 86/100; strong JD-text match; response rate 0.83.
CAND_0015582,51,0.7466,ML Engineer with 4.4 yrs; 5 core + 4 applied AI skills; assessed skill 87/100; strong JD-text match; response rate 0.82.
CAND_0018549,52,0.7445,Recommendation Systems Engineer with 6.8 yrs; 6 core + 2 applied AI skills; assessed skill 72/100; strong JD-text match; response rate 0.73.
CAND_0064888,53,0.7421,ML Engineer with 5.8 yrs; 3 core + 4 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.92.
CAND_0074225,54,0.7419,Machine Learning Engineer with 4.3 yrs; 8 core + 3 applied AI skills; assessed skill 74/100; strong JD-text match; response rate 0.91.
CAND_0074024,55,0.7408,AI Specialist with 3.9 yrs; 3 core + 2 applied AI skills; assessed skill 68/100; strong JD-text match; response rate 0.50.
CAND_0075249,56,0.7402,Applied ML Engineer with 6.2 yrs; 5 core + 4 applied AI skills; assessed skill 68/100; strong JD-text match; response rate 0.82.
CAND_0005260,57,0.7398,Senior NLP Engineer with 5.2 yrs; 5 core + 7 applied AI skills; assessed skill 81/100; strong JD-text match; response rate 0.86.
CAND_0076251,58,0.7384,Search Engineer with 7.6 yrs; 5 core + 4 applied AI skills; assessed skill 70/100; strong JD-text match; response rate 0.51.
CAND_0008425,59,0.7372,Senior NLP Engineer with 7.8 yrs; 9 core + 4 applied AI skills; assessed skill 78/100; strong JD-text match; response rate 0.66.
CAND_0002025,60,0.7335,Senior AI Engineer with 5.9 yrs; 11 core + 3 applied AI skills; strong JD-text match; response rate 0.80.
CAND_0058688,61,0.7324,AI Engineer with 6.7 yrs; 5 core + 3 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.74.
CAND_0000031,62,0.7315,Recommendation Systems Engineer with 6.0 yrs; 5 core + 5 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.91.
CAND_0066690,63,0.7314,ML Engineer with 4.8 yrs; 7 core + 2 applied AI skills; assessed skill 78/100; strong JD-text match; response rate 0.88.
CAND_0050876,64,0.7307,Applied ML Engineer with 6.0 yrs; 10 core + 2 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.67.
CAND_0007009,65,0.7306,Recommendation Systems Engineer with 7.9 yrs; 10 core + 3 applied AI skills; assessed skill 51/100; strong JD-text match; response rate 0.62.
CAND_0065195,66,0.7288,Search Engineer with 5.1 yrs; 7 core + 4 applied AI skills; assessed skill 61/100; strong JD-text match; response rate 0.80.
CAND_0011327,67,0.7286,AI Research Engineer with 6.3 yrs; 4 core + 2 applied AI skills; assessed skill 46/100; strong JD-text match; response rate 0.79.
CAND_0064256,68,0.7262,Junior ML Engineer with 6.4 yrs; 3 core + 3 applied AI skills; assessed skill 69/100; strong JD-text match; response rate 0.86.
CAND_0024147,69,0.7237,ML Engineer with 5.9 yrs; 3 core + 3 applied AI skills; assessed skill 64/100; strong JD-text match; response rate 0.84.
CAND_0031842,70,0.7231,AI Specialist with 3.5 yrs; 2 core + 4 applied AI skills; assessed skill 41/100; strong JD-text match; response rate 0.82.
CAND_0037566,71,0.7223,Machine Learning Engineer with 6.9 yrs; 7 core + 3 applied AI skills; assessed skill 82/100; strong JD-text match; response rate 0.50.
CAND_0098454,72,0.7218,AI Specialist with 6.6 yrs; 3 core + 3 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.87.
CAND_0028793,73,0.7212,Search Engineer with 7.2 yrs; 7 core + 4 applied AI skills; assessed skill 80/100; strong JD-text match; response rate 0.57.
CAND_0055960,74,0.7204,AI Specialist with 4.9 yrs; 2 core + 3 applied AI skills; assessed skill 87/100; strong JD-text match; response rate 0.89.
CAND_0070398,75,0.7202,Machine Learning Engineer with 7.2 yrs; 6 core + 6 applied AI skills; assessed skill 76/100; strong JD-text match; response rate 0.60.
CAND_0069905,76,0.7184,Applied ML Engineer with 6.6 yrs; 6 core + 4 applied AI skills; assessed skill 71/100; strong JD-text match; response rate 0.78.
CAND_0053527,77,0.7178,Junior ML Engineer with 7.0 yrs; 4 core + 1 applied AI skills; assessed skill 58/100; strong JD-text match; response rate 0.81.
CAND_0091534,78,0.7169,AI Engineer with 16.6 yrs; 5 core + 3 applied AI skills; assessed skill 75/100; strong JD-text match; response rate 0.84.
CAND_0039383,79,0.7142,Applied ML Engineer with 7.1 yrs; 6 core + 4 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.61.
CAND_0016163,80,0.7121,Applied ML Engineer with 6.7 yrs; 6 core + 1 applied AI skills; assessed skill 71/100; strong JD-text match; response rate 0.72.
CAND_0066999,81,0.7101,Recommendation Systems Engineer with 5.9 yrs; 4 core + 3 applied AI skills; assessed skill 74/100; strong JD-text match; response rate 0.63.
CAND_0066376,82,0.7097,Applied ML Engineer with 5.7 yrs; 4 core + 6 applied AI skills; assessed skill 75/100; strong JD-text match; response rate 0.51.
CAND_0002120,83,0.7090,ML Engineer with 6.5 yrs; 3 core + 3 applied AI skills; assessed skill 61/100; strong JD-text match; response rate 0.72.
CAND_0043637,84,0.7069,Junior ML Engineer with 5.5 yrs; 5 core + 2 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.92.
CAND_0027801,85,0.7045,NLP Engineer with 7.4 yrs; 7 core + 3 applied AI skills; assessed skill 67/100; strong JD-text match; response rate 0.65.
CAND_0078785,86,0.7042,AI Research Engineer with 6.3 yrs; 2 core + 3 applied AI skills; assessed skill 68/100; strong JD-text match; response rate 0.91.
CAND_0057563,87,0.7037,NLP Engineer with 6.8 yrs; 4 core + 1 applied AI skills; assessed skill 81/100; strong JD-text match; response rate 0.83.
CAND_0079284,88,0.7028,Machine Learning Engineer with 4.9 yrs; 6 core + 2 applied AI skills; assessed skill 71/100; strong JD-text match; response rate 0.79.
CAND_0097176,89,0.7021,ML Engineer with 5.9 yrs; 3 core + 1 applied AI skills; assessed skill 69/100; strong JD-text match; response rate 0.76.
CAND_0077067,90,0.7010,AI Specialist with 5.4 yrs; 4 core + 2 applied AI skills; assessed skill 77/100; strong JD-text match; response rate 0.83.
CAND_0090300,91,0.7000,AI Research Engineer with 5.3 yrs; 2 core + 5 applied AI skills; assessed skill 70/100; strong JD-text match; response rate 0.94.
CAND_0010149,92,0.6994,ML Engineer with 6.9 yrs; 4 core + 3 applied AI skills; assessed skill 50/100; strong JD-text match; response rate 0.82.
CAND_0010685,93,0.6991,NLP Engineer with 6.7 yrs; 5 core + 4 applied AI skills; strong JD-text match; response rate 0.83.
CAND_0070514,94,0.6989,AI Specialist with 5.5 yrs; 6 core + 4 applied AI skills; assessed skill 82/100; strong JD-text match; response rate 0.80.
CAND_0024466,95,0.6970,Search Engineer with 5.2 yrs; 8 core + 4 applied AI skills; assessed skill 76/100; strong JD-text match; response rate 0.47.
CAND_0053695,96,0.6969,Recommendation Systems Engineer with 5.8 yrs; 5 core + 4 applied AI skills; strong JD-text match; response rate 0.60.
CAND_0073007,97,0.6961,AI Specialist with 5.8 yrs; 4 core + 3 applied AI skills; assessed skill 46/100; strong JD-text match; response rate 0.83.
CAND_0064904,98,0.6958,AI Engineer with 4.9 yrs; 6 core + 5 applied AI skills; assessed skill 66/100; strong JD-text match; response rate 0.78.
CAND_0023587,99,0.6949,ML Engineer with 3.2 yrs; 2 core + 3 applied AI skills; assessed skill 50/100; strong JD-text match; response rate 0.90.
CAND_0041568,100,0.6947,Search Engineer with 5.2 yrs; 7 core + 3 applied AI skills; assessed skill 69/100; strong JD-text match; response rate 0.52.
